,wikipedia,key,remote_ids,created,birth_date,name,latest_revision,last_modified,alternate_names,type,photos,revision,personal_name,death_date,source_records,id,bio,links,title,data,date,fuller_name,location,authors_key
4296,,/authors/OL9267476A,,"{'type': '/type/datetime', 'value': '2021-06-11T05:27:40.009046'}",,Gregory T. 1793-1834 Bedell,1.0,"{'type': '/type/datetime', 'value': '2021-06-11T05:27:40.009046'}",,{'key': '/type/author'},,1,,,['amazon:0342793446'],,,,,,,,,/authors/OL9267476A
4297,,/authors/OL9109043A,,"{'type': '/type/datetime', 'value': '2021-02-27T19:24:59.626669'}",,Elena Ferrante,1.0,"{'type': '/type/datetime', 'value': '2021-02-27T19:24:59.626669'}",,{'key': '/type/author'},,1,,,['amazon:1504620321'],,,,,,,,,/authors/OL9109043A
4298,,/authors/OL9281499A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:50:33.505911'}",,Elsa Damien (Traduction),1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:50:33.505911'}",,{'key': '/type/author'},,1,,,['amazon:2070466124'],,,,,,,,,/authors/OL9281499A
4299,,/authors/OL3437171A,,,,Gallimard,,"{'type': '/type/datetime', 'value': '2008-04-30 09:38:13.731961'}",,{'key': '/type/author'},,1,,,,13914796.0,,,,,,,,/authors/OL3437171A
4300,,/authors/OL9109043A,,"{'type': '/type/datetime', 'value': '2021-02-27T19:24:59.626669'}",,Elena Ferrante,1.0,"{'type': '/type/datetime', 'value': '2021-02-27T19:24:59.626669'}",,{'key': '/type/author'},,1,,,['amazon:1504620321'],,,,,,,,,/authors/OL9109043A
4301,,/authors/OL9281499A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:50:33.505911'}",,Elsa Damien (Traduction),1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:50:33.505911'}",,{'key': '/type/author'},,1,,,['amazon:2070466124'],,,,,,,,,/authors/OL9281499A
4302,,/authors/OL3437171A,,,,Gallimard,,"{'type': '/type/datetime', 'value': '2008-04-30 09:38:13.731961'}",,{'key': '/type/author'},,1,,,,13914796.0,,,,,,,,/authors/OL3437171A
4303,,/authors/OL6003521A,,"{'type': '/type/datetime', 'value': '2008-10-27T02:14:33.987593'}",,Hermann von Helmholtz,,"{'type': '/type/datetime', 'value': '2008-10-27T02:14:33.987593'}",,{'key': '/type/author'},,1,,,,30533964.0,,,,,,,,/authors/OL6003521A
4304,,/authors/OL6003521A,,"{'type': '/type/datetime', 'value': '2008-10-27T02:14:33.987593'}",,Hermann von Helmholtz,,"{'type': '/type/datetime', 'value': '2008-10-27T02:14:33.987593'}",,{'key': '/type/author'},,1,,,,30533964.0,,,,,,,,/authors/OL6003521A
4305,,/authors/OL2313988A,,,,Addie Donnell Van Noppen,,"{'type': '/type/datetime', 'value': '2008-09-10 03:34:37.807334'}",,{'key': '/type/author'},,2,Addie Donnell Van Noppen,,,8612289.0,,,,,,,,/authors/OL2313988A
